reg,rd,rs1,rs2,total,rs,reg_name,reg_comb
x0,5471,9202,9524,24197,18726,zero,zero (x0)
x1,8530,5266,3263,17059,8529,ra,ra (x1)
x2,6528,31733,0,38261,31733,sp,sp (x2)
x3,3,166,0,169,166,gp,gp (x3)
x4,1,0,0,1,0,tp,tp (x4)
x5,204,203,0,407,203,t0,t0 (x5)
x6,156,95,120,371,215,t1,t1 (x6)
x7,11,0,50,61,50,t2,t2 (x7)
x8,9672,8426,4875,22973,13301,s0,s0 (x8)
x9,3387,1921,1728,7036,3649,s1,s1 (x9)
x10,11901,10983,3469,26353,14452,a0,a0 (x10)
x11,3982,8387,616,12985,9003,a1,a1 (x11)
x12,6800,3102,6367,16269,9469,a2,a2 (x12)
x13,1054,1167,719,2940,1886,a3,a3 (x13)
x14,2352,4003,545,6900,4548,a4,a4 (x14)
x15,6537,7939,2273,16749,10212,a5,a5 (x15)
x16,259,219,211,689,430,a6,a6 (x16)
x17,62,0,121,183,121,a7,a7 (x17)
x18,3473,3231,1687,8391,4918,s2,s2 (x18)
x19,283,1658,154,2095,1812,s3,s3 (x19)
x20,211,59,1633,1903,1692,s4,s4 (x20)
x21,264,137,145,546,282,s5,s5 (x21)
x22,196,68,138,402,206,s6,s6 (x22)
x23,190,6,147,343,153,s7,s7 (x23)
x24,189,37,105,331,142,s8,s8 (x24)
x25,1811,1687,113,3611,1800,s9,s9 (x25)
x26,1661,3279,63,5003,3342,s10,s10 (x26)
x27,102,38,61,201,99,s11,s11 (x27)
x28,12,1,10,23,11,t3,t3 (x28)
x29,11,0,10,21,10,t4,t4 (x29)
x30,1,0,0,1,0,t5,t5 (x30)
x31,1,0,0,1,0,t6,t6 (x31)
